text,label_text,label_id,pre_defined
wake me up at nine am on friday,alarm set,1,True
set an alarm for two hours from now,alarm set,1,True
make the lighting bit more warm here,iot hue lightchange,2,True
please set the lighting suitable for reading,iot hue lightchange,2,True
time to sleep,iot hue lightoff,3,True
time to sleep olly,iot hue lightoff,3,True
turn off the light in the bathroom,iot hue lightoff,3,True
olly dim the lights in the hall,iot hue lightdim,4,False
turn the lights off in the bedroom,iot hue lightoff,3,True
set lights to twenty percent,iot hue lightchange,2,True
olly set lights to twenty percent,iot hue lightchange,2,True
dim the lights in the kitchen olly,iot hue lightdim,4,False
dim the lights in the kitchen,iot hue lightdim,4,False
olly clean the flat,iot cleaning,5,False
vacuum the house,iot cleaning,5,False
vacuum the house olly,iot cleaning,5,False
hoover the carpets around,iot cleaning,5,False
i want to listen arijit singh song once again,play music,6,True
i want to play that music one again,play music,6,True
check my car is ready,general quirky,7,True
check my laptop is working,general quirky,7,True
is the brightness of my screen running low,general quirky,7,True
i need to have location services on can you check,general quirky,7,True
check the status of my power usage,general quirky,7,True
i am not tired i am actually happy,general quirky,7,True
olly i am not tired i am actually happy,general quirky,7,True
tell me the time in moscow,datetime query,8,True
tell me the time in g. m. t. plus five,datetime convert,9,True
olly list most rated delivery options for chinese food,takeaway query,10,False
most rated delivery options for chinese food,takeaway query,10,False
olly most rated delivery options for chinese food,takeaway query,10,False
i want some curry to go any recommendations,takeaway query,10,False
i want some curry to go any recommendations olly,takeaway query,10,False
find my thai takeaways around grassmarket,takeaway query,10,False
please list active alarms,alarm query,11,False
please play yesterday from beatles,play music,6,True
i like rock music,music likeness,12,False
my favorite music band is queen,music likeness,12,False
start playing music from favorites,play music,6,True
please play my best music,play music,6,True
who's current music's author,music query,13,False
what's that the album is current music from,music query,13,False
olly i'm really enjoying this song,music likeness,12,False
the song you are playing is amazing,music likeness,12,False
this is one of the best songs for me,music likeness,12,False
hey start vacuum cleaner robot,iot cleaning,5,False
turn cleaner robot on,iot cleaning,5,False
please order some sushi for dinner,takeaway order,14,True
hey i'd like you to order burger,takeaway order,14,True
can i order takeaway dinner from byron's,takeaway order,14,True
does byron's supports takeaways,takeaway query,10,False
set an alarm for twelve,alarm set,1,True
set an alarm forty minutes from now,alarm set,1,True
set alarm for eight every weekday,alarm set,1,True
is it raining,weather query,15,True
is it going to rain,weather query,15,True
is it currently snowing,weather query,15,True
what's this weeks weather,weather query,15,True
play a song i like,play music,6,True
play daft punk,play music,6,True
put on some coldplay,play music,6,True
shuffle this playlist,music settings,16,True
what's playing,music query,13,False
what music is this,music query,13,False
tell me the artist of this song,music query,13,False
make me laugh,general joke,17,False
olly make me laugh,general joke,17,False
tell me a good joke,general joke,17,False
tell me a joke,general joke,17,False
alexa tell me a joke,general joke,17,False
cheer me up,general joke,17,False
tell me about today,general quirky,7,True
order a pizza,takeaway order,14,True
order me a byron from deliveroo,takeaway order,14,True
when is my order arriving,takeaway query,10,False
how long until my takeaway,takeaway query,10,False
domino's delivery status,takeaway query,10,False
what's playing,music query,13,False
tell me the name of the song,music query,13,False
play my jazz playlist,play music,6,True
start my jazz playlist,play music,6,True
play my favorite playlist,play music,6,True
that's a good song,music likeness,12,False
i don't like it,music dislikeness,18,True
i like it,music likeness,12,False
i like jazz,music likeness,12,False
can you play some jazz,play music,6,True
